название,пол,бренд,страна,сегмент,концентрация,верхние ноты,ноты сердца,базовые ноты,семейства,стойкость (ч),шлейф,мл,цена
Shalimar,ж,Guerlain,Франция,люкс,духи,Бергамот;Цитрусы;Лимон;Мандарин,Ирис;Пачули;Роза;Ветивер;Жасмин,Бобы;Кожаный аккорд;Ладан;Мускус;Опопанакс;Сандал;Ваниль;Цибетин,Восточные;Пряные,5,средний,30,8183
3 L'Imperatrice,ж,Dolce&Gabbana,Италия,люкс,туалетная вода,Киви;Ревень;Розовый перец,Арбуз;Цикламен;Жасмин,Мускус;Сандал,Цветочные;Водные,10,очень заметный,50,7949
Resolute Gold,м,Khalis,ОАЭ,масс-маркет,парфюмерная вода,Белые цветы;Клубника,Мускатный орех;Жасмин,Амбра;Древесный аккорд;Мускус;Сандал,Цветочные;Сладкие,16,средний,100,1802
Oath for Him,м,Ajmal,ОАЭ,люкс,парфюмерная вода,Апельсин;Бергамот;Черная смородина;Дыня;Яблоко;Лимон;Слива,Герань;Ирис;Лаванда;Роза;Жасмин,Амбра;Кедр;Мох;Мускус;Пачули;Ветивер,Цветочные;Древесные;Шипровые,3,средний,50,9699
Twist,ж,Emper,ОАЭ,масс-маркет,парфюмерная вода,Бергамот;Черная смородина,Фиалка;Роза;Жасмин,Мускус;Ваниль,Цветочные;Цветочные,12,заметный,100,1872
CK Everyone,у,Calvin Klein,США,люкс,туалетная вода,Апельсин,Чай,Кедр;Мускус,Цитрусовые;Ароматические,5,средний,50,4749
Bad Boy,м,Carolina Herrera,США,люкс,туалетная вода,Белый перец;Бергамот;Черный перец,Кедр;Шалфей,Бобы;Янтарь;Какао,Древесные;Пряные,5,средний,100,10899
Eau de Lacoste L.12.12 Blanc,м,Lacoste,Франция,люкс,туалетная вода,Грейпфрут;Кардамон;Розмарин,Иланг-иланг;Тубероза,Кедр;Кожаный аккорд;Ветивер;Замша,Древесные;Фужерные,5,средний,50,8549
Ange ou Demon,ж,Givenchy,Франция,люкс,парфюмерная вода,Мандарин;Шафран;Тимьян,Иланг-иланг;Орхидея;Лилия,Бобы;Мох;Палисандр;Ваниль,Восточные;Цветочные,56,очень заметный,30,7549
Samsara Eau de Parfum,ж,Guerlain,Франция,люкс,парфюмерная вода,Бергамот;Иланг-иланг;Лимон;Цвет персика;Зеленый аккорд,Фиалка;Корень фиалки;Нарцисс;Роза;Жасмин,Бобы;Ирис;Мускус;Сандал;Ваниль,Восточные;Древесные,40,средний,30,5354
Renata,ж,Faberlic,Россия,масс-маркет,парфюмерная вода,Бергамот;Красное яблоко;Личи;Мандарин,Черная смородина;Гардения;Орхидея;Роза,Амбра;Кашмеран;Мускус;Пачули;Ваниль,Восточные;Ванильные;Фруктовые,12,средний,50,2500
Lanvin Eclat D Arpege,ж,Lanvin,Франция,люкс,парфюмерная вода,Пион;Цвет персика;Чай,Амбра;Мускус;Сирень,Злаки;Кедр;Османтус,Цветочные;Фруктовые,28,средний,50,3090
MOSCHINO Toy Boy,м,Moscino,Италия,люкс,парфюмерная вода,Бергамот;Элеми;Груша;Гвоздика;Мускатный орех;Розовый перец,Кашмеран;Лен;Магнолия;Роза,Ветивер;Силколид,Древесные;Пряные,5,средний,50,4690
Cartier Declaration D Un Soir,м,Cartier,Франция,люкс,туалетная вода,Полынь;Береза;Бергамот;Апельсин;Кориандр;Мандарин;Нероли;Тмин,Имбирь;Ирис;Кардамон;Корица;Можжевельник;Черный перец,Амбра;Чай;Мох;Кедр;Кожаный аккорд;Ветивер,Древесные;Пряные,5,средний,30,10190
Channel №5,ж,Channel,Франция,люкс,духи,Альдегиды;Бергамот;Иланг-иланг;Лимон;Нероли,Ирис;Ландыш;Роза;Жасмин,Амбра;Мох;Мускус;Пачули;Ваниль;Ветивер;Цибетин,Цветочные;Цветочные,72,средний,30,13390
The Only One,ж,Dolce&Gabbana,Италия,люкс,парфюмерная вода,Апельсин;Бергамот;Фиалка,Груша;Ирис;Кофе;Роза,Карамель;Пачули;Ваниль,Восточные;Цветочные,5,средний,30,1990
Flora by Gucci Gorgeous Gardenia,ж,Gucci,Италия,люкс,туалетная вода,Груша;Розовый перец,Франжипани;Гардения,Коричневый сахар;Пачули,Цветочные;Фруктовые,32,средний,50,25590
La Petite Robe Noire Ma Robe Cocktail,ж,Guerlain,Франция,люкс,туалетная вода,Роза;Зеленый аккорд;Жасмин,Апельсин;Яблоко;Миндаль;Вишня,Мускус;Амбра,Цветочные;Фруктовые,12,заметный,50,6624
La Petite Robe Noire Ma Robe Sous le Vent,ж,Guerlain,Франция,люкс,парфюмерная вода,Бергамот;Черная смородина;Черника;Малина;Сладкая вата,Апельсиновый цвет;Роза;Жасмин,Бобы;Мускус;Пачули;Сандал;Ваниль,Цветочные;Фруктовые,12,средний,30,6487
Fleur Narcotique,у,Ex Nihilo,Франция,нишевая парфюмерия,парфюмерная вода,Белый персик;Бергамот;Личи,Апельсиновый цвет;Пион;Жасмин ,Древесный аккорд;Мох;Мускус ,Цветочные;Фруктовые,8,очень заметный,100,4586
Lost Cherry,у,Tom Ford,США,нишевая парфюмерия,парфюмерная вода,Ликёр;Миндаль;Вишня,Роза;Жасмин ,Бобы;Кедр;Перуанский бальзам;Сандал;Ветивер ,Цветочные;Фруктовые,15,заметный,100,45200
Bombshell,ж,Victoria's secret,США,люкс,парфюмерная вода,Ананас;Грейпфрут;Клубника;Маракуйя;Танжерин,Ландыш;Пион;Розовый перец;Жасмин ,Древесный аккорд;Мох;Мускус ,Цветочные;Фруктовые,6,средний,50,8456
Black Opium,ж,Yves Saint Laurent,Франция,люкс,парфюмерная вода,Апельсиновый цвет;Груша;Розовый перец,Кофе;Лакричник;Миндаль;Жасмин ,Кашмеран;Кедр;Пачули;Ваниль ,Восточные;Пряные,21,очень заметный,30,12584
Sauvage,м,Dior,Франция,люкс,туалетная вода,Черный перец;Бергамот,Элеми;Герань;Лаванда;Пачули;Розовый перец;Белый перец;Ветивер ,Амброксан;Кедр;Лабданум ,Восточные;Древесные,12,средний,50,7489
Fucking Fabulous,у,Tom Ford,США,нишевая парфюмерия,парфюмерная вода,Лаванда;Шалфей,Кожаный аккорд;Миндаль;Ваниль,Кожа;Бобы;Амбра,Восточные;Древесные,8,средний,30,25841
